sample_number,analysis_date,batch_id,sample_id,pond,date,depth,CO2_FID,concentrationCO2Gas,CH4_FID,concentrationCH4Gas,concentrationN2OGas,concentrationCO2Air,concentrationCH4Air,concentrationN2OAir,gasVolume,waterVolume,waterTemp,headspaceTemp,barometricPressure
25,4/23/22 7:53,POND,DCSW2_2022-01-13_Surface_1,DCSW2,2022-01-13,Surface,618.89389,618.89389,539.16518,539.16518,0.64257,377.44095,1.0892,0.432355,35,105,1.8,1.8,98.058
26,4/23/22 8:08,POND,DCSW2_2022-01-13_Surface_2,DCSW2,2022-01-13,Surface,625.44482,625.44482,517.96134,517.96134,0.64433,377.44095,1.0892,0.432355,35,105,1.8,1.8,98.058
27,4/23/22 8:24,POND,DCSW2_2022-01-13_Surface_3,DCSW2,2022-01-13,Surface,640.16267,640.16267,558.83164,558.83164,0.61228,377.44095,1.0892,0.432355,35,105,1.8,1.8,98.058
28,4/23/22 8:39,POND,DCSW3_2022-01-13_Surface_1,DCSW3,2022-01-13,Surface,256.54744,256.54744,42.02607,42.02607,0.4513,377.29819,1.07474,0.43404,35,105,1.9,1.9,98.058
29,4/23/22 8:54,POND,DCSW3_2022-01-13_Surface_2,DCSW3,2022-01-13,Surface,208.77719,208.77719,51.44929,51.44929,0.43169,377.29819,1.07474,0.43404,35,105,1.9,1.9,98.058
30,4/23/22 9:09,POND,DCSW3_2022-01-13_Surface_3,DCSW3,2022-01-13,Surface,286.92951,286.92951,41.25823,41.25823,0.4493,377.29819,1.07474,0.43404,35,105,1.9,1.9,98.058
31,4/23/22 9:24,POND,CAP_2022-01-13_Surface_1,CAP,2022-01-13,Surface,3062.061925,3062.061925,211.21736,211.21736,0.157515,376.74742,1.134185,0.43857,35,105,2.6,2.6,97.957
32,4/23/22 9:40,POND,CAP_2022-01-13_Surface_2,CAP,2022-01-13,Surface,3148.06229,3148.06229,163.17359,163.17359,0.15845,376.74742,1.134185,0.43857,35,105,2.6,2.6,97.957
33,4/23/22 9:55,POND,CAP_2022-01-13_Surface_3,CAP,2022-01-13,Surface,2976.06156,2976.06156,259.26113,259.26113,0.15658,376.74742,1.134185,0.43857,35,105,2.6,2.6,97.957
34,4/23/22 10:10,POND,DOBA5_2022-01-13_Surface_1,DOBA5,2022-01-13,Surface,114.62221,114.62221,256.49986,256.49986,0.43326,396.42446,1.276975,0.44685,35,105,3.3,3.3,98.058
35,4/23/22 10:25,POND,DOBA5_2022-01-13_Surface_2,DOBA5,2022-01-13,Surface,78.81974,78.81974,352.76416,352.76416,0.43554,396.42446,1.276975,0.44685,35,105,3.3,3.3,98.058
36,4/23/22 10:40,POND,DOBA5_2022-01-13_Surface_3,DOBA5,2022-01-13,Surface,58.07459,58.07459,296.70267,296.70267,0.44746,396.42446,1.276975,0.44685,35,105,3.3,3.3,98.058
37,4/23/22 10:55,POND,DOBA4_2022-01-13_Surface_1,DOBA4,2022-01-13,Surface,329.48995,329.48995,206.90927,206.90927,0.30762,521.88061,1.16615,0.43855,35,105,2.2,2.2,97.957
38,4/23/22 11:10,POND,DOBA4_2022-01-13_Surface_2,DOBA4,2022-01-13,Surface,418.00312,418.00312,183.88993,183.88993,0.30351,521.88061,1.16615,0.43855,35,105,2.2,2.2,97.957
39,4/23/22 11:25,POND,DOBA4_2022-01-13_Surface_3,DOBA4,2022-01-13,Surface,383.93371,383.93371,199.82819,199.82819,0.30454,521.88061,1.16615,0.43855,35,105,2.2,2.2,97.957
40,4/23/22 11:41,POND,KP_2022-01-14_Surface_1,KP,2022-01-14,Surface,17651.9511,17651.9511,20701.0364,20701.0364,0.08963,364.627295,0.89289,0.4346,35,105,0.3,0.3,98.97
41,4/23/22 11:56,POND,KP_2022-01-14_Surface_2,KP,2022-01-14,Surface,17423.42026,17423.42026,20302.71458,20302.71458,0.08316,364.627295,0.89289,0.4346,35,105,0.3,0.3,98.97
42,4/23/22 12:11,POND,KP_2022-01-14_Surface_3,KP,2022-01-14,Surface,17340.42797,17340.42797,19173.48852,19173.48852,0.07868,364.627295,0.89289,0.4346,35,105,0.3,0.3,98.97
43,4/23/22 12:26,POND,MDT_2022-01-14_Surface_1,MDT,2022-01-14,Surface,132.4688,132.4688,49.88654,49.88654,0.38245,364.19228,1.037735,0.44184,35,105,2.2,2.2,98.464
44,4/23/22 12:41,POND,MDT_2022-01-14_Surface_2,MDT,2022-01-14,Surface,152.19498,152.19498,21.32532,21.32532,0.38488,364.19228,1.037735,0.44184,35,105,2.2,2.2,98.464
45,4/23/22 12:56,POND,MDT_2022-01-14_Surface_3,MDT,2022-01-14,Surface,100.38941,100.38941,15.07461,15.07461,0.37689,364.19228,1.037735,0.44184,35,105,2.2,2.2,98.464
46,4/23/22 13:11,POND,ELV_2022-01-14_Surface_1,ELV,2022-01-14,Surface,224.8643,224.8643,100.98174,100.98174,0.53772,360.97015,1.33334,0.437325,35,105,0.4,0.4,98.565
47,4/23/22 13:27,POND,ELV_2022-01-14_Surface_2,ELV,2022-01-14,Surface,208.96391,208.96391,125.84774,125.84774,0.54287,360.97015,1.33334,0.437325,35,105,0.4,0.4,98.565
48,4/23/22 13:42,POND,ELV_2022-01-14_Surface_3,ELV,2022-01-14,Surface,216.914105,216.914105,113.41474,113.41474,0.53392,360.97015,1.33334,0.437325,35,105,0.4,0.4,98.565
49,4/23/22 13:57,POND,O-N_2022-01-14_Surface_1,O-N,2022-01-14,Surface,1146.47329,1146.47329,11.39504,11.39504,2.84064,361.03402,1.04349,0.449135,35,105,0.4,0.4,99.274
50,4/23/22 14:12,POND,O-N_2022-01-14_Surface_2,O-N,2022-01-14,Surface,1169.48117,1169.48117,24.52826,24.52826,2.65214,361.03402,1.04349,0.449135,35,105,0.4,0.4,99.274
51,4/23/22 14:27,POND,O-N_2022-01-14_Surface_3,O-N,2022-01-14,Surface,1207.83796,1207.83796,28.79292,28.79292,2.61134,361.03402,1.04349,0.449135,35,105,0.4,0.4,99.274
52,4/23/22 14:42,POND,O-S_2022-01-14_Surface_1,O-S,2022-01-14,Surface,925.13396,925.13396,85.16755,85.16755,0.71195,359.83384,1.214255,0.453375,35,105,1.2,1.2,99.274
53,4/23/22 14:58,POND,O-S_2022-01-14_Surface_2,O-S,2022-01-14,Surface,922.27671,922.27671,91.44319,91.44319,0.70013,359.83384,1.214255,0.453375,35,105,1.2,1.2,99.274
54,4/23/22 15:13,POND,O-S_2022-01-14_Surface_3,O-S,2022-01-14,Surface,934.18359,934.18359,93.37362,93.37362,0.69865,359.83384,1.214255,0.453375,35,105,1.2,1.2,99.274
55,4/23/22 15:28,POND,DOBA7_2022-01-14_Surface_1,DOBA7,2022-01-14,Surface,33.61145,33.61145,245.82464,245.82464,0.75472,373.7673,1.162305,0.45136,35,105,1.1,1.1,98.464
56,4/23/22 15:43,POND,DOBA7_2022-01-14_Surface_2,DOBA7,2022-01-14,Surface,33.07628,33.07628,251.11989,251.11989,0.75606,373.7673,1.162305,0.45136,35,105,1.1,1.1,98.464
57,4/23/22 15:58,POND,DOBA7_2022-01-14_Surface_3,DOBA7,2022-01-14,Surface,78.09494,78.09494,399.99986,399.99986,0.76295,373.7673,1.162305,0.45136,35,105,1.1,1.1,98.464
58,4/23/22 16:13,POND,DOBA8_2022-01-14_Surface_1,DOBA8,2022-01-14,Surface,1188.26283,1188.26283,43.29635,43.29635,0.57256,411.902945,1.087925,0.45625,35,105,2.8,2.8,98.362
59,4/23/22 16:29,POND,DOBA8_2022-01-14_Surface_2,DOBA8,2022-01-14,Surface,1362.56586,1362.56586,96.18972,96.18972,0.62021,411.902945,1.087925,0.45625,35,105,2.8,2.8,98.362
60,4/23/22 16:44,POND,DOBA8_2022-01-14_Surface_3,DOBA8,2022-01-14,Surface,1309.81359,1309.81359,88.21536,88.21536,0.60242,411.902945,1.087925,0.45625,35,105,2.8,2.8,98.362
61,4/23/22 16:59,POND,HP_2022-01-31_Surface_1,HP,2022-01-31,Surface,1837.82637,1837.82637,170.35419,170.35419,1.28035,365.374135,1.260395,0.472335,35,105,2.5,2.5,98.6
62,4/23/22 17:14,POND,HP_2022-01-31_Surface_2,HP,2022-01-31,Surface,1862.68377,1862.68377,184.35531,184.35531,1.30082,365.374135,1.260395,0.472335,35,105,2.5,2.5,98.6
63,4/23/22 17:29,POND,HP_2022-01-31_Surface_3,HP,2022-01-31,Surface,1882.95499,1882.95499,173.36828,173.36828,1.28864,365.374135,1.260395,0.472335,35,105,2.5,2.5,98.6
64,4/23/22 17:44,POND,L60_2022-01-31_Surface_1,L60,2022-01-31,Surface,7135.36326,7135.36326,3026.76221,3026.76221,0.08474,372.0633,1.054195,0.478215,35,105,0.5,0.5,98.56
65,4/23/22 17:59,POND,L60_2022-01-31_Surface_2,L60,2022-01-31,Surface,7270.38864,7270.38864,3039.27244,3039.27244,0.09412,372.0633,1.054195,0.478215,35,105,0.5,0.5,98.56
66,4/23/22 18:15,POND,L60_2022-01-31_Surface_3,L60,2022-01-31,Surface,7348.9767,7348.9767,3180.18987,3180.18987,0.07778,372.0633,1.054195,0.478215,35,105,0.5,0.5,98.56
67,4/23/22 18:30,POND,LM-ARB_2022-01-31_Surface_1,LM-ARB,2022-01-31,Surface,10233.04361,10233.04361,1575.4824,1575.4824,0.23523,370.2942,1.105905,0.461905,35,105,0.3,0.3,98.347
68,4/23/22 18:45,POND,LM-ARB_2022-01-31_Surface_2,LM-ARB,2022-01-31,Surface,10343.29924,10343.29924,1524.46762,1524.46762,0.24513,370.2942,1.105905,0.461905,35,105,0.3,0.3,98.347
69,4/23/22 19:00,POND,LM-ARB_2022-01-31_Surface_3,LM-ARB,2022-01-31,Surface,10133.42618,10133.42618,1570.71888,1570.71888,0.24249,370.2942,1.105905,0.461905,35,105,0.3,0.3,98.347
70,4/23/22 19:15,POND,UM-ARB_2022-01-31_Surface_1,UM-ARB,2022-01-31,Surface,13268.92672,13268.92672,9251.52433,9251.52433,0.15585,367.049975,1.160205,0.46172,35,105,0.6,0.6,98.36
71,4/23/22 19:30,POND,UM-ARB_2022-01-31_Surface_2,UM-ARB,2022-01-31,Surface,12908.12809,12908.12809,8744.59822,8744.59822,0.18685,367.049975,1.160205,0.46172,35,105,0.6,0.6,98.36
72,4/23/22 19:46,POND,UM-ARB_2022-01-31_Surface_3,UM-ARB,2022-01-31,Surface,13275.76912,13275.76912,8827.4474,8827.4474,0.17106,367.049975,1.160205,0.46172,35,105,0.6,0.6,98.36
73,4/23/22 20:01,POND,OPP-E_2022-01-31_Surface_1,OPP-E,2022-01-31,Surface,4343.53006,4343.53006,29.2574,29.2574,0.35904,394.39234,1.05914,0.46534,35,105,0.7,0.7,98.32
74,4/23/22 20:16,POND,OPP-E_2022-01-31_Surface_2,OPP-E,2022-01-31,Surface,4326.10003,4326.10003,16.59085,16.59085,0.37492,394.39234,1.05914,0.46534,35,105,0.7,0.7,98.32
75,4/23/22 20:31,POND,OPP-E_2022-01-31_Surface_3,OPP-E,2022-01-31,Surface,4261.18311,4261.18311,21.05863,21.05863,0.37944,394.39234,1.05914,0.46534,35,105,0.7,0.7,98.32
76,4/23/22 20:46,POND,OPP-W_2022-01-31_Surface_1,OPP-W,2022-01-31,Surface,7397.04327,7397.04327,23.6203,23.6203,4.85179,375.067185,1.204325,0.468785,35,105,0.7,0.7,98.307
77,4/23/22 21:01,POND,OPP-W_2022-01-31_Surface_2,OPP-W,2022-01-31,Surface,7232.4967,7232.4967,31.59169,31.59169,4.744,375.067185,1.204325,0.468785,35,105,0.7,0.7,98.307
78,4/23/22 21:16,POND,OPP-W_2022-01-31_Surface_3,OPP-W,2022-01-31,Surface,7347.77359,7347.77359,25.30706,25.30706,4.76466,375.067185,1.204325,0.468785,35,105,0.7,0.7,98.307
79,4/23/22 21:32,POND,ALC_2022-01-27_Surface_1,ALC,2022-01-27,Surface,5556.73971,5556.73971,408.50378,408.50378,0.22692,367.266815,1.199675,0.470985,35,105,0.7,0.7,98.654
80,4/23/22 21:47,POND,ALC_2022-01-27_Surface_2,ALC,2022-01-27,Surface,5670.95996,5670.95996,425.79106,425.79106,0.20636,367.266815,1.199675,0.470985,35,105,0.7,0.7,98.654
81,4/23/22 22:02,POND,ALC_2022-01-27_Surface_3,ALC,2022-01-27,Surface,5520.99355,5520.99355,426.62631,426.62631,0.21196,367.266815,1.199675,0.470985,35,105,0.7,0.7,98.654
82,4/23/22 22:17,POND,DCSW1_2022-01-27_Surface_1,DCSW1,2022-01-27,Surface,2584.3484,2584.3484,24.03407,24.03407,0.41404,372.387289,0.977058,0.47144,35,105,1.8,1.8,98.494
83,4/23/22 22:32,POND,DCSW1_2022-01-27_Surface_2,DCSW1,2022-01-27,Surface,2573.21054,2573.21054,22.37898,22.37898,0.41062,372.387289,0.977058,0.47144,35,105,1.8,1.8,98.494
84,4/23/22 22:48,POND,DCSW1_2022-01-27_Surface_2,DCSW1,2022-01-27,Surface,2531.71486,2531.71486,22.35731,22.35731,0.41387,372.387289,0.977058,0.47144,35,105,1.8,1.8,98.494
85,4/23/22 23:03,POND,DCSW2_2022-01-27_Surface_1,DCSW2,2022-01-27,Surface,2124.08961,2124.08961,921.71175,921.71175,0.54755,364.90161,1.066775,0.470725,35,105,1.6,1.6,98.52
86,4/23/22 23:18,POND,DCSW2_2022-01-27_Surface_2,DCSW2,2022-01-27,Surface,2065.65713,2065.65713,920.37691,920.37691,0.53165,364.90161,1.066775,0.470725,35,105,1.6,1.6,98.52
87,4/23/22 23:33,POND,DCSW2_2022-01-27_Surface_2,DCSW2,2022-01-27,Surface,2165.53492,2165.53492,803.25797,803.25797,0.55606,364.90161,1.066775,0.470725,35,105,1.6,1.6,98.52
88,4/23/22 23:48,POND,DCSW3_2022-01-27_Surface_1,DCSW3,2022-01-27,Surface,715.74758,715.74758,104.72144,104.72144,0.40408,373.242185,1.020925,0.472365,35,105,0.7,0.7,98.507
89,4/24/22 0:03,POND,DCSW3_2022-01-27_Surface_2,DCSW3,2022-01-27,Surface,671.13538,671.13538,94.66595,94.66595,0.41055,373.242185,1.020925,0.472365,35,105,0.7,0.7,98.507
90,4/24/22 0:19,POND,DCSW3_2022-01-27_Surface_2,DCSW3,2022-01-27,Surface,692.41405,692.41405,98.61205,98.61205,0.40531,373.242185,1.020925,0.472365,35,105,0.7,0.7,98.507
91,4/24/22 0:34,POND,CAP_2022-01-27_Surface_1,CAP,2022-01-27,Surface,5022.13976,5022.13976,2324.81093,2324.81093,0.06683,359.75038,0.98748,0.47333,35,105,1.3,1.3,98.467
92,4/24/22 0:49,POND,CAP_2022-01-27_Surface_2,CAP,2022-01-27,Surface,5138.34408,5138.34408,2329.72658,2329.72658,0.06523,359.75038,0.98748,0.47333,35,105,1.3,1.3,98.467
93,4/24/22 1:04,POND,CAP_2022-01-27_Surface_2,CAP,2022-01-27,Surface,4882.48166,4882.48166,2274.51864,2274.51864,0.07653,359.75038,0.98748,0.47333,35,105,1.3,1.3,98.467
94,4/24/22 1:19,POND,DOBA5_2022-01-27_Surface_1,DOBA5,2022-01-27,Surface,4093.82832,4093.82832,3470.24746,3470.24746,0.07268,372.147115,1.21581,0.47875,35,105,2,2,98.36
95,4/24/22 1:35,POND,DOBA5_2022-01-27_Surface_2,DOBA5,2022-01-27,Surface,4055.78928,4055.78928,3391.70505,3391.70505,0.07843,372.147115,1.21581,0.47875,35,105,2,2,98.36
96,4/24/22 1:50,POND,DOBA5_2022-01-27_Surface_2,DOBA5,2022-01-27,Surface,3999.14028,3999.14028,4030.10788,4030.10788,0.06934,372.147115,1.21581,0.47875,35,105,2,2,98.36
97,4/24/22 2:05,POND,DOBA4_2022-01-27_Surface_1,DOBA4,2022-01-27,Surface,3028.85068,3028.85068,251.05208,251.05208,0.20485,367.02432,0.884235,0.47381,35,105,1.4,1.4,98.307
98,4/24/22 2:20,POND,DOBA4_2022-01-27_Surface_2,DOBA4,2022-01-27,Surface,2801.56439,2801.56439,271.14267,271.14267,0.21854,367.02432,0.884235,0.47381,35,105,1.4,1.4,98.307
99,4/24/22 2:35,POND,DOBA4_2022-01-27_Surface_2,DOBA4,2022-01-27,Surface,3224.77029,3224.77029,177.78539,177.78539,0.21629,367.02432,0.884235,0.47381,35,105,1.4,1.4,98.307
100,4/24/22 2:51,POND,KP_2022-01-30_Surface_1,KP,2022-01-30,Surface,32523.49099,32523.49099,42245.9459,42245.9459,0.07479,363.92453,1.11029,0.481105,35,105,0.2,0.2,98.267
101,4/24/22 3:06,POND,KP_2022-01-30_Surface_2,KP,2022-01-30,Surface,32377.55621,32377.55621,44702.41168,44702.41168,0.06137,363.92453,1.11029,0.481105,35,105,0.2,0.2,98.267
102,4/24/22 3:21,POND,KP_2022-01-30_Surface_3,KP,2022-01-30,Surface,33001.24709,33001.24709,44230.13377,44230.13377,0.06692,363.92453,1.11029,0.481105,35,105,0.2,0.2,98.267
103,4/24/22 3:36,POND,ELV_2022-01-30_Surface_1,ELV,2022-01-30,Surface,886.52094,886.52094,364.64503,364.64503,0.50432,360.83175,1.25962,0.481585,35,105,1.5,1.5,97.96
104,4/24/22 3:51,POND,ELV_2022-01-30_Surface_2,ELV,2022-01-30,Surface,882.56787,882.56787,289.14116,289.14116,0.50528,360.83175,1.25962,0.481585,35,105,1.5,1.5,97.96
105,4/24/22 4:07,POND,ELV_2022-01-30_Surface_3,ELV,2022-01-30,Surface,802.85632,802.85632,369.7499,369.7499,0.51534,360.83175,1.25962,0.481585,35,105,1.5,1.5,97.96
106,4/24/22 4:22,POND,MDT_2022-01-30_Surface_1,MDT,2022-01-30,Surface,1511.27093,1511.27093,22.78866,22.78866,0.3681,364.67313,1.41786,0.485385,35,105,1.1,1.1,97.787
107,4/24/22 4:37,POND,MDT_2022-01-30_Surface_2,MDT,2022-01-30,Surface,1552.27613,1552.27613,26.47258,26.47258,0.36533,364.67313,1.41786,0.485385,35,105,1.1,1.1,97.787
108,4/24/22 4:52,POND,MDT_2022-01-30_Surface_3,MDT,2022-01-30,Surface,1536.78475,1536.78475,21.21731,21.21731,0.37849,364.67313,1.41786,0.485385,35,105,1.1,1.1,97.787
109,4/24/22 5:07,POND,O-N_2022-01-30_Surface_1,O-N,2022-01-30,Surface,715.84485,715.84485,32.94967,32.94967,3.47494,401.431095,1.02001,0.481305,35,105,2.3,2.3,98.454
110,4/24/22 5:23,POND,O-N_2022-01-30_Surface_2,O-N,2022-01-30,Surface,778.16542,778.16542,69.47616,69.47616,3.54954,401.431095,1.02001,0.481305,35,105,2.3,2.3,98.454
111,4/24/22 5:38,POND,O-N_2022-01-30_Surface_3,O-N,2022-01-30,Surface,747.005135,747.005135,51.212915,51.212915,3.39702,401.431095,1.02001,0.481305,35,105,2.3,2.3,98.454
112,4/24/22 5:53,POND,O-S_2022-01-30_Surface_1,O-S,2022-01-30,Surface,2077.94455,2077.94455,23.98942,23.98942,1.15808,399.83747,1.11021,0.48746,35,105,0.8,0.8,98.48
113,4/24/22 6:08,POND,O-S_2022-01-30_Surface_2,O-S,2022-01-30,Surface,2197.33917,2197.33917,35.66064,35.66064,1.22568,399.83747,1.11021,0.48746,35,105,0.8,0.8,98.48
114,4/24/22 6:23,POND,O-S_2022-01-30_Surface_3,O-S,2022-01-30,Surface,2159.20106,2159.20106,26.75744,26.75744,1.20945,399.83747,1.11021,0.48746,35,105,0.8,0.8,98.48
115,4/24/22 6:39,POND,DOBA7_2022-01-31_Surface_1,DOBA7,2022-01-31,Surface,982.72401,982.72401,3971.92493,3971.92493,1.04721,367.655345,1.205675,0.4864,35,105,0.6,0.6,98
116,4/24/22 6:54,POND,DOBA7_2022-01-31_Surface_2,DOBA7,2022-01-31,Surface,980.00092,980.00092,3834.23444,3834.23444,1.05558,367.655345,1.205675,0.4864,35,105,0.6,0.6,98
117,4/24/22 7:09,POND,DOBA7_2022-01-31_Surface_3,DOBA7,2022-01-31,Surface,840.21715,840.21715,4134.29345,4134.29345,1.04533,367.655345,1.205675,0.4864,35,105,0.6,0.6,98
118,4/24/22 7:24,POND,DOBA8_2022-01-30_Surface_1,DOBA8,2022-01-30,Surface,4329.53001,4329.53001,165.6633,165.6633,0.34602,365.711265,1.3348,0.48445,35,105,2.4,2.4,97.76
119,4/24/22 7:39,POND,DOBA8_2022-01-30_Surface_2,DOBA8,2022-01-30,Surface,4297.87636,4297.87636,137.58772,137.58772,0.35356,365.711265,1.3348,0.48445,35,105,2.4,2.4,97.76
120,4/24/22 7:55,POND,DOBA8_2022-01-30_Surface_3,DOBA8,2022-01-30,Surface,4237.66144,4237.66144,181.04764,181.04764,0.34701,365.711265,1.3348,0.48445,35,105,2.4,2.4,97.76
121,4/24/22 8:10,POND,HP_2022-02-09_Surface_1,HP,2022-02-09,Surface,1633.14273,1633.14273,211.61214,211.61214,1.29616,377.209695,1.2312,0.48544,35,105,2.7,2.7,97.267
122,4/24/22 8:25,POND,HP_2022-02-09_Surface_2,HP,2022-02-09,Surface,1697.81732,1697.81732,169.44467,169.44467,1.37268,377.209695,1.2312,0.48544,35,105,2.7,2.7,97.267
123,4/24/22 8:40,POND,HP_2022-02-09_Surface_3,HP,2022-02-09,Surface,1647.84973,1647.84973,253.20007,253.20007,1.30362,377.209695,1.2312,0.48544,35,105,2.7,2.7,97.267
124,4/24/22 8:56,POND,L60_2022-02-09_Surface_1,L60,2022-02-09,Surface,7409.33174,7409.33174,4653.82538,4653.82538,0.08685,354.61441,1.225495,0.48787,35,105,0.4,0.4,97.28
125,4/24/22 9:11,POND,L60_2022-02-09_Surface_2,L60,2022-02-09,Surface,7340.10454,7340.10454,4942.19426,4942.19426,0.08011,354.61441,1.225495,0.48787,35,105,0.4,0.4,97.28
126,4/24/22 9:26,POND,L60_2022-02-09_Surface_3,L60,2022-02-09,Surface,7278.36598,7278.36598,4613.00724,4613.00724,0.08817,354.61441,1.225495,0.48787,35,105,0.4,0.4,97.28
127,4/24/22 9:41,POND,ALC_2022-02-09_Surface_1,ALC,2022-02-09,Surface,7356.22097,7356.22097,7513.04988,7513.04988,0.08314,373.753025,1.04937,0.503235,35,105,0.5,0.5,97.307
128,4/24/22 9:56,POND,ALC_2022-02-09_Surface_2,ALC,2022-02-09,Surface,7295.14824,7295.14824,7347.4806,7347.4806,0.08983,373.753025,1.04937,0.503235,35,105,0.5,0.5,97.307
