sample_id,pond,date,chla,day
DOBA4_210607,DOBA4,2021-06-07,44.3,06-07
DOBA5_210607,DOBA5,2021-06-07,28.2,06-07
DOBA7_210602,DOBA7,2021-06-02,12.9,06-02
DOBA8_210610,DOBA8,2021-06-10,7.6,06-10
O-N_210611,O-N,2021-06-11,69.6,06-11
OPP-E_210602,OPP-E,2021-06-02,21,06-02
OPP-W_210602,OPP-W,2021-06-02,71.3,06-02
ALC_210615,ALC,2021-06-15,25.3,06-15
CAP_210616,CAP,2021-06-16,36.3,06-16
DOBA4_210616,DOBA4,2021-06-16,55.8,06-16
DOBA5_210616,DOBA5,2021-06-16,7.5,06-16
DOBA7_210614,DOBA7,2021-06-14,86.5,06-14
HP_210618,HP,2021-06-18,11.1,06-18
LM-ARB_210615,LM-ARB,2021-06-15,133,06-15
OPP-E_210614,OPP-E,2021-06-14,75.4,06-14
OPP-W_210614,OPP-W,2021-06-14,548.6,06-14
UM-ARB_210615,UM-ARB,2021-06-15,173.5,06-15
DCSW1_210621,DCSW1,2021-06-21,2.4,06-21
DCSW2_210621,DCSW2,2021-06-21,21.2,06-21
DCSW3_210621,DCSW3,2021-06-21,13.4,06-21
DOBA8_210617,DOBA8,2021-06-17,17,06-17
ELV_210617,ELV,2021-06-17,61.7,06-17
KP_210622,KP,2021-06-22,136.8,06-22
L60_210618,L60,2021-06-18,1.8,06-18
MDT_210617,MDT,2021-06-17,60.5,06-17
O-N_210622,O-N,2021-06-22,36.1,06-22
O-S_210622,O-S,2021-06-22,14.1,06-22
ALC_210702,ALC,2021-07-02,36,07-02
DCSW1_210701,DCSW1,2021-07-01,18.1,07-01
DCSW3_210701,DCSW3,2021-07-01,3.6,07-01
DOBA4_210701,DOBA4,2021-07-01,40.2,07-01
L60_210702,L60,2021-07-02,8.2,07-02
LM-ARB_210630,LM-ARB,2021-06-30,76,06-30
MDT_210630,MDT,2021-06-30,37.4,06-30
O-N_210702,O-N,2021-07-02,53.1,07-02
O-S_210702,O-S,2021-07-02,26.8,07-02
OPP-W_210629,OPP-W,2021-06-29,158.2,06-29
CAP_210701,CAP,2021-07-01,14.3,07-01
DCSW1_210701,DCSW1,2021-07-01,20.6,07-01
DOBA5_210701,DOBA5,2021-07-01,63.7,07-01
DOBA7_210629,DOBA7,2021-06-29,92,06-29
DOBA8_210630,DOBA8,2021-06-30,17.8,06-30
ELV_210630,ELV,2021-06-30,20.3,06-30
HP_210629,HP,2021-06-29,8.3,06-29
KP_210702,KP,2021-07-02,74.3,07-02
OPP-E_210629,OPP-E,2021-06-29,157.8,06-29
UM-ARB_210630,UM-ARB,2021-06-30,108,06-30
ALC_220113,ALC,2022-01-13,2.3,01-13
DCSW1_220113,DCSW1,2022-01-13,5.7,01-13
DCSW3_220113,DCSW3,2022-01-13,36.3,01-13
DOBA4_220113,DOBA4,2022-01-13,40.5,01-13
DOBA5_220113,DOBA5,2022-01-13,243.8,01-13
HP_220112,HP,2022-01-12,1.9,01-12
LM-ARB_220112,LM-ARB,2022-01-12,37.8,01-12
OPP-E_220112,OPP-E,2022-01-12,246.6,01-12
OPP-W_220112,OPP-W,2022-01-12,370,01-12
UM-ARB_220112,UM-ARB,2022-01-12,21.9,01-12
CAP_220113,CAP,2022-01-13,125.1,01-13
DCSW2_220113,DCSW2,2022-01-13,33.1,01-13
DOBA7_220114,DOBA7,2022-01-14,47,01-14
DOBA8_220114,DOBA8,2022-01-14,7,01-14
ELV_220114,ELV,2022-01-14,44,01-14
KP_220114,KP,2022-01-14,246.5,01-14
L60_220113,L60,2022-01-13,16.7,01-13
MDT_220114,MDT,2022-01-14,132.4,01-14
O-N_220114,O-N,2022-01-14,11.6,01-14
O-S_220114,O-S,2022-01-14,3.4,01-14
ALC_220127,ALC,2022-01-27,32.6,01-27
CAP_220127,CAP,2022-01-27,288.4,01-27
DCSW1_220127,DCSW1,2022-01-27,9.5,01-27
DCSW2_220127,DCSW2,2022-01-27,132.7,01-27
DCSW3_220127,DCSW3,2022-01-27,18.8,01-27
DOBA4_220127,DOBA4,2022-01-27,753.2,01-27
DOBA5_220127,DOBA5,2022-01-27,218.7,01-27
DOBA8_220130,DOBA8,2022-01-30,8,01-30
ELV_220120,ELV,2022-01-20,257.4,01-20
KP_220130,KP,2022-01-30,495.7,01-30
DOBA7_220131,DOBA7,2022-01-31,63.1,01-31
HP_220131,HP,2022-01-31,5.3,01-31
L60_220131,L60,2022-01-31,46.2,01-31
LM-ARB_220131,LM-ARB,2022-01-31,39.9,01-31
MDT_220130,MDT,2022-01-30,249.8,01-30
O-N_220130,O-N,2022-01-30,19.7,01-30
O-S_220130,O-S,2022-01-30,14.7,01-30
OPP-E_220131,OPP-E,2022-01-31,601.6,01-31
OPP-W_220131,OPP-W,2022-01-31,366,01-31
UM-ARB_220131,UM-ARB,2022-01-31,5.5,01-31
ALC_220209,ALC,2022-02-09,40.8,02-09
CAP_220209,CAP,2022-02-09,389.8,02-09
DCSW1_220209,DCSW1,2022-02-09,3.2,02-09
DCSW2_220209,DCSW2,2022-02-09,10.3,02-09
DCSW3_220209,DCSW3,2022-02-09,22.8,02-09
DOBA4_220209,DOBA4,2022-02-09,1632.8,02-09
DOBA5_220209,DOBA5,2022-02-09,265.7,02-09
HP_220209,HP,2022-02-09,7,02-09
L60_220209,L60,2022-02-09,155.3,02-09
MDT_220210,MDT,2022-02-10,160,02-10
DOBA7_220211,DOBA7,2022-02-11,18.8,02-11
DOBA8_220210,DOBA8,2022-02-10,6.4,02-10
ELV_220210,ELV,2022-02-10,89.9,02-10
KP_220210,KP,2022-02-10,268.8,02-10
LM-ARB_220211,LM-ARB,2022-02-11,18.8,02-11
O-N_220210,O-N,2022-02-10,11.1,02-10
O-S_220210,O-S,2022-02-10,5.8,02-10
OPP-E_220211,OPP-E,2022-02-11,451.2,02-11
OPP-W_220211,OPP-W,2022-02-11,466.8,02-11
UM-ARB_220211,UM-ARB,2022-02-11,15,02-11
